state,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024
Alabama,449771,448391,477105,475086,492455,499097,513823,529162,525999
Alaska,431469,430730,448950,447778,458722,462802,472034,480803,479643
Arizona,614250,613368,648282,646628,669110,678272,697843,711699,712460
Arkansas,473712,472682,496680,495173,509681,515142,527427,538662,537478
California,1091874,1087735,1204903,1197732,1267323,1292077,1347585,1397328,1395699
Colorado,471379,470777,501972,500438,519910,527656,543914,558393,556914
Connecticut,408305,406997,432259,430558,445611,451220,463872,476557,474529
Delaware,415498,414807,433587,432505,443884,448263,458000,467298,465906
District of Columbia,372978,372364,390481,389500,400520,404708,414020,422050,421569
Florida,701384,700881,772871,771258,816871,834740,873756,906708,904025
Georgia,600656,599386,642828,640747,667494,678358,701344,722675,719682
Hawaii,449746,448986,468891,467564,479481,483952,493910,503969,502262
Idaho,423587,422871,443721,442742,455683,460856,472014,483181,480883
Illinois,610511,607444,655761,651673,679978,689740,712621,735955,732748
Indiana,477809,476249,509553,507365,527588,535563,552640,568933,566683
Iowa,447790,446781,471159,469557,484290,489759,502152,514089,512363
Kansas,408621,407561,431216,429609,443831,449207,461177,472693,471111
Kentucky,471516,470231,497933,496086,512837,519028,533077,546523,544674
Louisiana,499264,498028,526343,524265,540848,546999,561077,573844,572768
Maine,462506,461641,481348,480109,492014,496585,506677,516471,514971
Maryland,498213,496829,528533,526519,545358,552460,568489,584947,581822
Massachusetts,518603,517267,551064,549000,569743,577140,594090,611189,608290
Michigan,660694,658461,700077,697086,722379,731475,751968,772383,769395
Minnesota,490874,489604,520237,518591,537301,544520,560157,575209,573024
Mississippi,393205,392040,415910,414159,428542,433789,445689,456655,455633
Missouri,556320,554828,586719,584507,603736,610995,627199,642261,640557
Montana,444639,443924,462967,461840,473440,477869,487706,497225,495721
Nebraska,456271,455456,476712,475433,488306,493190,503977,514492,512888
Nevada,417447,416818,441065,440065,454921,460972,474021,485544,484207
New Hampshire,430278,429457,449192,447994,460058,464604,474725,484546,483030
New Jersey,489504,487507,526437,524008,546122,554384,573807,597886,590377
New Mexico,444847,443853,465408,464017,477118,482041,493127,503561,502194
New York,708323,704725,770787,766225,801852,815061,845925,883523,873503
North Carolina,553294,551873,594979,593028,619808,630688,653817,672768,671942
North Dakota,371524,370935,389172,387991,399052,403254,412578,421517,420235
Ohio,567860,565396,611257,607975,635782,645924,668913,691295,688158
Oklahoma,432964,431978,458377,456538,472476,478582,492208,504673,503284
Oregon,426057,425297,452625,451241,467972,474395,488347,501083,499661
Pennsylvania,696350,693639,742294,738456,767598,778285,802319,827442,822834
Rhode Island,370261,369462,388450,387264,398690,403055,412668,422400,420653
South Carolina,520063,519200,548740,547308,565523,572955,588757,602064,601164
South Dakota,420122,419398,437966,436838,448176,452451,462001,470969,469794
Tennessee,448702,447418,481125,479299,499981,508259,525985,543031,540247
Texas,892445,891985,982921,980364,1038080,1061597,1111656,1155054,1150129
Utah,457285,456650,481238,480124,495441,501549,514540,527524,524930
Vermont,407585,406845,424720,423590,434426,438495,447588,456573,455104
Virginia,502926,501387,539364,537030,560265,568926,588744,607096,604740
Washington,485973,485149,521111,519754,542482,551458,570483,587727,585531
West Virginia,423756,422749,443583,441990,454450,459006,469457,479348,478168
Wisconsin,471125,469626,500699,498519,517338,524397,540149,555611,553200
Wyoming,363720,363011,380794,379612,390325,394414,403514,412035,410963